ingredients
金針菇
絲瓜
薑絲
蒜末
鹽
胡椒粉
米酒
熱水
中筋麵粉
細糖
酵母粉
泡打粉
水
太白粉
白砂糖
沙拉油
熟太白粉
滾水
蓮藕
辣椒絲
細砂糖
白醋
香油
板豆腐
大白菜
荸薺
薑
香菇末
芹菜末
筊白筍末
麵包粉
麵粉
地瓜粉
醬油
糖
白胡椒粉
素蠔油
香菇精
冬粉
泡菜
黃豆芽
小黃瓜
紅蘿蔔
韓式辣醬
熟芝麻
麻油
冬瓜
砂糖
辣椒醬
白醬油
糯米粉
溫水
玉米粉
嫩薑
南瓜
在來米粉
香菇
紅蘿蔔絲
芹菜段
油
醬油膏
奶油
糖粉
雞蛋
牛奶
香草粉
高筋麵粉
去骨雞腿肉
青金針花
小黃椒
山椒粉
酒
味醂
豬皮
紅蔥頭
豬油
胛心絞肉
高湯
冰糖
蔥
蒜泥
白芝麻
辣椒粉
芋頭
蕃薯粉
柳松菇
秀珍菇
杏鮑菇
珊瑚菇
薑末
香菇糖
芝麻
果糖
酵母
溫水70
蔥花
細味噌
甜辣醬
太白粉水
紅肉地瓜
黃肉地瓜
紫地瓜
白花椰菜
綠花椰菜
蒜頭
橄欖油
水餃皮
青江菜
胡蘿蔔
芹菜
五香豆干
茄子
辣椒末
烏醋
全蛋
香草精
低筋麵粉
澄粉
紅豆餡
雞胸肉
洋蔥
青蔥
蕃茄醬
五香粉
西谷米
椰漿
白糖
五花肉
八角
市售花生粉
黑芝麻
麥芽糖
苦甜巧克力
鮮奶油
抹茶粉
味噌
梅子粉
冷開水
冷水
沸水
炒熟白芝麻
起酥片
蛋黃
動物性奶油
鮮奶
楊桃
甘草
白飯
南瓜子
葵瓜子
豆豉
蓮藕粉
紅豆
印度長米
蒜片
鍚蘭肉桂丁
丁香
香茅
薑黃粉
高麗菜
雞腿
大蒜
鮮雞粉
雞肉塊
薑片
黑麻油
雞粉
大頭菜
香菜
白蔭油
花椒
草果
桂皮
糖色
糯米粉麻糬
無糖花生粉
動物性鮮奶油
洋菜粉
果凍粉
蛋白
檸檬汁
椰子粉
新鮮豆皮
九層塔葉絲
紅辣椒
辣麻油腐乳
麻竹筍
豆粕
水果餡
熟麵粉
秋葵
黃甜椒
紅甜椒
香菜碎
蒜味腐乳醬
白蘿蔔
素豆雞
鮮香菇
素肉
洋菇
素鴨
滷包
辣豆瓣醬
辣椒
素高湯粉
濃縮滷漿
魚
牛腩
青蔥段
辣椒段
蛋
奶粉
乾酵母
二砂糖
黑糖
玻璃紙
紅蕃茄
乾白木耳
蔬菜高湯
泡發黑木耳
紅蘿蔔片
小黃瓜片
辣椒片
辣油
花生粉
紅心地瓜
紅麵線
乾香菇
沙拉筍
素肉絲
素沙茶醬
淡醬油
紅糖
甜豆
蠔油
麵腸
素烏醋
熟鹹蛋
奶油乳酪
香草莢
蘭姆酒
愛玉
碎冰塊
馬鈴薯
小紅蕃茄
月桂葉
熱開水
昆布
百頁豆腐
香菇粉
細地瓜粉
馬鈴薯澱粉
照燒醬
碎葡萄乾
高鮮味精
胡椒鹽
綠豆
冰塊
透抽
蝦仁
蟳味棒
韭菜
白胡椒
蔥段
蛋豆腐
肉片
豬梅花肉
紅蔥頭末
淡色醬油
芝麻醬
甜麵醬
三角油豆腐
鴻喜菇
枸杞
玉米筍
黑胡椒
西式綜合香料
綠豆苗
糖醋醬
青花椰菜
昆布醬油
乾香菇蒂頭
竹筍末
豆干末
肉桂粉
冬瓜茶
檸檬
海帶結
油豆腐
胡椒粒
發糕粉
素鴨肉
素高湯
蓮子
當歸
紅棗
桂圓肉
山藥
白果
蔘鬚
新鮮百合
蘆筍
起酥油
冰水
白油
牛肋條
蕃茄顆
洋蔥顆
番茄糊
鮮蚵
小白菜
香菜末
蒟蒻
素肉塊
玉米塊
甜豆莢
牛蒡片
四季豆
咖哩粉
咖哩塊
酸菜心
豆輪
番紅花
花生醬
味精
香醋
綠茶餡
蜂蜜
小蘇打粉
地瓜餡
芋頭餡
椰奶
吉利丁
香菇梗
胡瓜
蝦米
百里香
黑胡椒粉
柴魚絲
日式醬油
涼開水
台糖金砂糖
年糕紙
6吋活動蛋糕模
葡萄籽油
可可粉
小蘇打
葡萄乾
核桃
老麵種
鹼水
中華豆腐
紅蘿蔔末
荸薺末
油條
西生菜
糯米粿
糯米乾
蔥絲
素肉臊滷汁
紫米
圓糯米
花生糖
樹薯粉
香蕉油
紅色食用色素
桂花醬
蜜紅豆
黑柿蕃茄
牛蕃茄
豆包
碧玉筍
葵花籽油
豬里肌肉
豬梅花肉片
韓式泡菜
洋蔥碎
白酒醋
黑胡椒粒
白米
奶精
燙麵麵糰
炒過白芝麻
溶化豬油
麥芽
苦瓜
辣椒油
豆干絲
青椒絲
熟花生
麵筋
黑木耳絲
沙拉筍絲
香菇絲
麵糊
海帶絲
中薑
蒜水
山茼蒿
長糯米
梅花豬肉
乾蝦米
乾魷魚
豬小排
紅麴米
紹興酒
肉桂
瘦肉
肥肉
蔥末
雞精粉
料理酒
黑芝麻粉
濃縮百香果醬
百香果肉
豆芽菜
韭菜段
昆布高湯
綠竹筍
烤麩
竹筍
香菇素蠔油
綠豆仁
亞答枳
紅毛丹
波蘿蜜
黑豆
桂竹筍
福菜
五香滷汁
大里肌
蒜頭碎
白酒
醋
油麵
豬肝片
花枝片
蛤蜊
鮮蝦
糯米醋
地瓜
細玉米粉
牛頭牌素沙茶醬
牛頭牌原味高湯
素火腿絲
山粉圓
脆圓
基礎糖水
豆腐乳
小茴香
陳皮
三奈
桂枝
