recept_id,recipe_name,author,good,recipe_url,browsing_num,people,cooking_time,recept_type,ingredients,quantity,unit,recipe_source,recipe_upload_date,crawl_datetime
484616,魚板炒高麗菜,玫,,https://icook.tw/recipes/484616,88瀏覽,"3
人份","時間

10
分鐘",main ingredients,高麗菜,250克,,icook,2025-11-25,2025-11-26 01:55:28.948729
484616,魚板炒高麗菜,玫,,https://icook.tw/recipes/484616,88瀏覽,"3
人份","時間

10
分鐘",main ingredients,魚板,2片,,icook,2025-11-25,2025-11-26 01:55:28.948729
484616,魚板炒高麗菜,玫,,https://icook.tw/recipes/484616,88瀏覽,"3
人份","時間

10
分鐘",main ingredients,蒜蓉,1大匙,,icook,2025-11-25,2025-11-26 01:55:28.948729
484616,魚板炒高麗菜,玫,,https://icook.tw/recipes/484616,88瀏覽,"3
人份","時間

10
分鐘",main ingredients,辣椒,1根,,icook,2025-11-25,2025-11-26 01:55:28.948729
484616,魚板炒高麗菜,玫,,https://icook.tw/recipes/484616,88瀏覽,"3
人份","時間

10
分鐘",main ingredients,鹽,1大匙,,icook,2025-11-25,2025-11-26 01:55:28.948729
484616,魚板炒高麗菜,玫,,https://icook.tw/recipes/484616,88瀏覽,"3
人份","時間

10
分鐘",main ingredients,橄欖油,1大匙,,icook,2025-11-25,2025-11-26 01:55:28.948729
484609,芋頭蒸粿（芋籤）,joyce chu,2,https://icook.tw/recipes/484609,107瀏覽,,,main ingredients,芋頭,300克,,icook,2025-11-25,2025-11-26 01:55:50.065344
484609,芋頭蒸粿（芋籤）,joyce chu,2,https://icook.tw/recipes/484609,107瀏覽,,,main ingredients,溫開水,200克,,icook,2025-11-25,2025-11-26 01:55:50.065344
484609,芋頭蒸粿（芋籤）,joyce chu,2,https://icook.tw/recipes/484609,107瀏覽,,,main ingredients,糖,40克,,icook,2025-11-25,2025-11-26 01:55:50.065344
484609,芋頭蒸粿（芋籤）,joyce chu,2,https://icook.tw/recipes/484609,107瀏覽,,,main ingredients,地瓜粉,150克,,icook,2025-11-25,2025-11-26 01:55:50.065344
