ingredients,ins_timestamp,upd_timestamp,status,t_ingredient_name,normalized_name
山椒粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,山椒粉,山椒
酒,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,酒,酒
味醂,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,味醂,味醂
豬皮,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,豬皮,豬皮
紅蔥頭,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紅蔥頭,紅蔥頭
豬油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,豬油,食用油
胛心絞肉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,胛心絞肉,豬肉
高湯,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,高湯,高湯
冰糖,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,冰糖,糖
蔥,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蔥,蔥
蒜泥,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蒜泥,蒜
白芝麻,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,白芝麻,芝麻
辣椒粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,辣椒粉,辣椒
芋頭,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,芋頭,芋頭
蕃薯粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蕃薯粉,蕃薯
柳松菇,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,柳松菇,柳松菇
秀珍菇,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,秀珍菇,秀珍菇
杏鮑菇,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,杏鮑菇,杏鮑菇
珊瑚菇,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,珊瑚菇,珊瑚菇
薑末,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,薑末,薑
香菇糖,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,香菇糖,玉米
芝麻,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,芝麻,芝麻
果糖,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,果糖,玉米
酵母,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,酵母,酵母
溫水70,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,溫水70,水
蔥花,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蔥花,蔥
細味噌,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,細味噌,黃豆
甜辣醬,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,甜辣醬,玉米
太白粉水,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,太白粉水,太白粉
紅肉地瓜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紅肉地瓜,地瓜
黃肉地瓜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,黃肉地瓜,地瓜
紫地瓜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紫地瓜,地瓜
白花椰菜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,白花椰菜,花椰菜
綠花椰菜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,綠花椰菜,花椰菜
蒜頭,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蒜頭,蒜
橄欖油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,橄欖油,橄欖油
水餃皮,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,水餃皮,小麥
青江菜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,青江菜,青江菜
胡蘿蔔,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,胡蘿蔔,紅蘿蔔
芹菜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,芹菜,芹菜
五香豆干,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,五香豆干,豆干
茄子,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,茄子,茄子
辣椒末,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,辣椒末,辣椒
烏醋,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,烏醋,烏醋
全蛋,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,全蛋,雞蛋
香草精,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,香草精,香草精
低筋麵粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,低筋麵粉,麵粉
澄粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,澄粉,小麥
紅豆餡,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紅豆餡,紅豆
雞胸肉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,雞胸肉,雞肉
洋蔥,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,洋蔥,洋蔥
青蔥,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,青蔥,蔥
蕃茄醬,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蕃茄醬,番茄醬
五香粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,五香粉,五香粉
西谷米,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,西谷米,西谷米
椰漿,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,椰漿,椰子
白糖,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,白糖,糖
五花肉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,五花肉,豬肉
八角,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,八角,八角
市售花生粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,市售花生粉,花生
黑芝麻,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,黑芝麻,芝麻
麥芽糖,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,麥芽糖,麥芽糖
苦甜巧克力,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,苦甜巧克力,食用油
鮮奶油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,鮮奶油,鮮奶油
抹茶粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,抹茶粉,抹茶粉
味噌,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,味噌,味噌
梅子粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,梅子粉,梅子
冷開水,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,冷開水,水
冷水,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,冷水,水
沸水,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,沸水,水
炒熟白芝麻,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,炒熟白芝麻,芝麻
起酥片,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,起酥片,酥皮
蛋黃,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蛋黃,雞蛋
動物性奶油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,動物性奶油,奶油
鮮奶,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,鮮奶,牛奶
楊桃,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,楊桃,楊桃
甘草,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,甘草,甘草
白飯,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,白飯,米飯
南瓜子,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,南瓜子,南瓜子
