ingredients,ins_timestamp,upd_timestamp,status,t_ingredient_name,normalized_name
高筋麵粉,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,高筋麵粉,麵粉
鹽,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,鹽,鹽
糖,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,糖,糖
速發乾酵母,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,速發乾酵母,酵母粉
水,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,水,水
橄欖油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,橄欖油,橄欖油
帆立貝,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,帆立貝,帆立貝
醬油膏,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,醬油膏,醬油膏
米酒,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,米酒,米酒
糖,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,糖,糖
九層塔,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,九層塔,九層塔
蒜末,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,蒜末,蒜
蔥花,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,蔥花,蔥
白胡椒粉,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,白胡椒粉,白胡椒粉
辣椒(可有可無),2025-11-22 13:50:29,2025-11-22 13:50:29,pending,辣椒,辣椒
百葉豆腐,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,百葉豆腐,豆腐
菠菜,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,菠菜,菠菜
雞粉,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,雞粉,雞粉
鹽,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,鹽,鹽
糖,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,糖,糖
荷蘭豆,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,荷蘭豆,荷蘭豆
小玉米筍,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,小玉米筍,玉米筍
香菇,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,香菇,香菇
辣椒,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,辣椒,辣椒
蒜頭,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,蒜頭,蒜
油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,油,食用油
鹽,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,鹽,鹽
鐵壺水,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,鐵壺水,水
香油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,香油,芝麻油
鮮香菇,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,鮮香菇,香菇
綠豆芽,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,綠豆芽,綠豆芽
河粉,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,河粉,河粉
醬油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,醬油,醬油
油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,油,食用油
蒜,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,蒜,蒜
乾香菇,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,乾香菇,香菇
香菜,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,香菜,香菜
溫水,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,溫水,水
速發酵母粉,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,速發酵母粉,酵母粉
糖,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,糖,糖
全麥麵粉,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,全麥麵粉,麵粉
鹽,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,鹽,鹽
肉桂粉,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,肉桂粉,肉桂粉
熟南瓜泥,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,熟南瓜泥,南瓜泥
葡萄乾,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,葡萄乾,葡萄乾
粗玉米粉Cornmeal（可省,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,粗玉米粉Cornmeal（可省,玉米粉
帶皮鮭魚(去骨),2025-11-22 13:50:29,2025-11-22 13:50:29,pending,帶皮鮭魚,鮭魚
萵苣,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,萵苣,萵苣
小黃瓜,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,小黃瓜,小黃瓜
美乃滋,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,美乃滋,美乃滋
番茄醬1／2大匙,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,番茄醬1／2大匙,番茄醬
砂糖,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,砂糖,糖
山葵醬(給小朋友吃的話不必加),2025-11-22 13:50:29,2025-11-22 13:50:29,pending,山葵醬,山葵醬
醬油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,醬油,醬油
芋泥餡,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,芋泥餡,芋泥
奇福餅乾,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,奇福餅乾,餅乾
瘦豬絞肉,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,瘦豬絞肉,豬絞肉
乾香菇,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,乾香菇,香菇
紅蔥頭,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,紅蔥頭,紅蔥頭
蒜頭,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,蒜頭,蒜
蔥,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,蔥,蔥
油豆腐,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,油豆腐,豆腐
醬油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,醬油,醬油
味霖,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,味霖,味醂
蠔油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,蠔油,蠔油
米酒,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,米酒,米酒
白胡椒,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,白胡椒,白胡椒
冰糖,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,冰糖,糖
香茹,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,香茹,香菇
乾麵筋,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,乾麵筋,麵筋
已煮好的花生,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,已煮好的花生,花生
香菇素蠔油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,香菇素蠔油,蠔油
油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,油,食用油
水,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,水,水
紅糖,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,紅糖,紅糖
雞蛋,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,雞蛋,雞蛋
蟹味棒,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,蟹味棒,蟹味棒
蔥花,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,蔥花,蔥
熱飯,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,熱飯,飯
小磨坊和風壽喜燒鍋醬,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,小磨坊和風壽喜燒鍋醬,壽喜燒醬
開水,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,開水,水
溏心蛋,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,溏心蛋,蛋
生菜,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,生菜,生菜
牛番茄,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,牛番茄,番茄
小黃瓜,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,小黃瓜,小黃瓜
大黃瓜,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,大黃瓜,黃瓜
香菜,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,香菜,香菜
冷水,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,冷水,水
紅辣椒,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,紅辣椒,辣椒
檸檬汁,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,檸檬汁,檸檬
蒜頭,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,蒜頭,蒜
魚露,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,魚露,魚露
砂糖,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,砂糖,糖
白醋,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,白醋,白醋
味精,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,味精,味精
大芥菜,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,大芥菜,芥菜
洋蔥,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,洋蔥,洋蔥
紅蔥頭,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,紅蔥頭,紅蔥頭
青蔥,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,青蔥,蔥
朝天椒,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,朝天椒,朝天椒
冷水,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,冷水,水
白醋,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,白醋,白醋
米醋,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,米醋,米醋
黃砂糖(貳砂),2025-11-22 13:50:29,2025-11-22 13:50:29,pending,黃砂糖,砂糖
食鹽,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,食鹽,鹽
味精,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,味精,味精
豬肝,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,豬肝,豬肝
十全120天完熟烏醋,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,十全120天完熟烏醋,烏醋
醬油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,醬油,醬油
麻油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,麻油,芝麻油
蒜頭,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,蒜頭,蒜
紅辣椒,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,紅辣椒,辣椒
香菜,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,香菜,香菜
粉腸,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,粉腸,粉腸
塩,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,塩,鹽
米酒,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,米酒,米酒
薑絲,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,薑絲,薑
醬油膏／辣椒醬,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,醬油膏／辣椒醬,醬油膏
香油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,香油,芝麻油
桂圓乾,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,桂圓乾,桂圓乾
水（泡桂圓）,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,水,水
軟化奶油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,軟化奶油,食用油
牛奶（塗表面）,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,牛奶,牛奶
高筋麵粉,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,高筋麵粉,麵粉
低筋麵粉,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,低筋麵粉,麵粉
酵母粉,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,酵母粉,酵母
糖,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,糖,糖
鹽,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,鹽,鹽
油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,油,食用油
牛奶+桂圓水,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,牛奶+桂圓水,牛奶
青江菜,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,青江菜,青江菜
香蕉,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,香蕉,香蕉
蘋果,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,蘋果,蘋果
水,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,水,水
亞麻仁籽油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,亞麻仁籽油,食用油
南瓜,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,南瓜,南瓜
百香果,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,百香果,百香果
砂糖,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,砂糖,糖
檸檬汁,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,檸檬汁,檸檬
砂糖,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,砂糖,糖
鹽巴,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,鹽巴,鹽
土雞腿排,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,土雞腿排,雞腿排
剝皮辣椒,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,剝皮辣椒,剝皮辣椒
乾香菇,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,乾香菇,香菇
薑片,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,薑片,薑
高湯,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,高湯,高湯
熱開水,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,熱開水,水
高筋麵粉,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,高筋麵粉,麵粉
鹽,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,鹽,鹽
糖,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,糖,糖
速發乾酵母,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,速發乾酵母,酵母粉
鮮奶,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,鮮奶,牛奶
無糖優格,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,無糖優格,優格
無鹽奶油,2025-11-22 13:50:29,2025-11-22 13:50:29,pending,無鹽奶油,奶油
