ingredients,ins_timestamp,upd_timestamp,status,t_ingredient_name,normalized_name
蒜頭,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,蒜頭,蒜
鹽,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,鹽,鹽
足以蓋過蒜頭的特級橄欖油,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,足以蓋過蒜頭的特級橄欖油,食用油
新鮮迷迭香,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,新鮮迷迭香,迷迭香
嫩豆腐(或雞蛋豆腐,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,嫩豆腐(或雞蛋豆腐,豆腐
凍豆腐),2025-11-26 14:08:51,2025-11-26 14:08:51,pending,凍豆腐),凍豆腐
雞胸肉,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,雞胸肉,雞肉
蒜頭,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,蒜頭,蒜
辣椒,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,辣椒,辣椒
青蔥,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,青蔥,蔥
水,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,水,水
太白粉水 (粉:水=1:3),2025-11-26 14:08:51,2025-11-26 14:08:51,pending,太白粉水 ,太白粉
鹽,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,鹽,鹽
米酒,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,米酒,米酒
太白粉,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,太白粉,太白粉
皎白筍,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,皎白筍,皎白筍
小魚辣椒醬,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,小魚辣椒醬,辣椒醬
蔥段,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,蔥段,蔥
蒜末,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,蒜末,蒜
糖,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,糖,糖
美國稻米（短粒米）,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,美國稻米,米
水,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,水,水
柴魚片,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,柴魚片,柴魚
迷你香腸,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,迷你香腸,香腸
起士片及海苔,2025-11-26 14:08:51,2025-11-26 14:08:51,pending,起士片及海苔,起士
