ingredients,ins_timestamp,upd_timestamp,status,t_ingredient_name,normalized_name
高麗菜,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,高麗菜,高麗菜
魚板,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,魚板,魚板
蒜蓉,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,蒜蓉,蒜頭
辣椒,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,辣椒,辣椒
鹽,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,鹽,鹽
橄欖油,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,橄欖油,橄欖油
芋頭,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,芋頭,芋頭
溫開水,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,溫開水,水
糖,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,糖,糖
地瓜粉,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,地瓜粉,地瓜粉
橄欖油,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,橄欖油,橄欖油
軟法,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,軟法,麵包
高筋面粉,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,高筋面粉,麵粉
低筋麵粉,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,低筋麵粉,麵粉
細砂糖,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,細砂糖,糖
鹽巴,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,鹽巴,鹽
無鹽奶油,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,無鹽奶油,奶油
水,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,水,水
冰塊,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,冰塊,水
高糖酵母,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,高糖酵母,酵母
鮮奶,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,鮮奶,牛奶
起司粉,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,起司粉,起司
雞胸肉,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,雞胸肉,雞肉
韭菜,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,韭菜,韭菜
醬油,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,醬油,醬油
砂糖,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,砂糖,糖
十全120天完熟烏醋,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,十全120天完熟烏醋,烏醋
杏鮑菇,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,杏鮑菇,杏鮑菇
菠菜,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,菠菜,菠菜
十全180天完熟米醋,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,十全180天完熟米醋,米醋
蒜頭,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,蒜頭,蒜
杏鮑菇,2025-11-26 02:13:48,2025-11-26 02:13:48,pending,杏鮑菇,杏鮑菇
