ori_ingredient_name,nor_ingredient_name,ins_timestamp,upd_timestamp,status
雞蛋,雞蛋,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
蛋,雞蛋,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
蛋黃,雞蛋,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
蛋白,雞蛋,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
全蛋,雞蛋,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
蛋液,雞蛋,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
水煮蛋,雞蛋,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
牛奶,牛奶,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
鮮奶,牛奶,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
鮮奶油,鮮奶油,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
動物性鮮奶油,鮮奶油,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
紅蘿蔔,紅蘿蔔,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
胡蘿蔔,紅蘿蔔,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
馬鈴薯,馬鈴薯,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
小黃瓜,小黃瓜,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
高麗菜,高麗菜,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
白蘿蔔,白蘿蔔,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
番茄,番茄,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
蕃茄,番茄,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
牛番茄,番茄,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
牛蕃茄,番茄,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
小番茄,番茄,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
香菇,香菇,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
乾香菇,香菇,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
杏鮑菇,杏鮑菇,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
金針菇,金針菇,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
蘑菇,蘑菇,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
黑木耳,木耳,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
木耳,木耳,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
鴻喜菇,鴻喜菇,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
鴻禧菇,鴻喜菇,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
玉米,玉米,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
玉米粒,玉米,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
玉米筍,玉米筍,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
地瓜,地瓜,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
南瓜,南瓜,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
豬絞肉,豬肉,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
絞肉,豬肉,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
五花肉,豬肉,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
排骨,豬肉,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
雞胸肉,雞肉,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
去骨雞腿肉,雞肉,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
雞腿肉,雞肉,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
蝦米,蝦,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
蝦仁,蝦,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
蝦子,蝦,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
蛤蜊,蛤蜊,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
鮭魚,鮭魚,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
米酒,米酒,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
紹興酒,米酒,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
味醂,味醂,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
味霖,味醂,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
檸檬汁,檸檬,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
檸檬,檸檬,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
蜂蜜,蜂蜜,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
